file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_110127.json,root_preamble,1,1,0,1,1
context_110195.json,structured,11,11,0,1,1
context_110195.json,root_preamble,1,1,0,1,1
context_110222.json,structured,5,5,0,1,1
context_110222.json,root_preamble,1,1,0,1,1
context_110243.json,structured,48,48,0,1,1
context_110243.json,root_preamble,1,1,0,1,1
context_110276.json,structured,39,39,0,1,1
context_110276.json,root_preamble,1,1,0,1,1
context_110305.json,structured,40,40,0,1,1
context_110305.json,root_preamble,1,1,0,1,1
context_110328.json,structured,6,6,0,1,1
context_110328.json,root_preamble,1,1,0,1,1
context_110406.json,structured,15,15,0,1,1
context_110406.json,root_preamble,1,1,0,1,1
context_110440.json,structured,9,9,0,1,1
context_110440.json,root_preamble,1,1,0,1,1
context_11045.json,structured,7,7,0,1,1
context_11045.json,root_preamble,1,1,0,1,1
context_110458.json,structured,63,63,0,1,1
context_110458.json,root_preamble,1,1,0,1,1
context_11048.json,structured,60,60,0,1,1
context_11048.json,root_preamble,1,1,0,1,1
context_11051.json,structured,11,11,0,1,1
context_11051.json,root_preamble,1,1,0,1,1
context_110536.json,structured,24,24,0,1,1
context_110536.json,root_preamble,1,1,0,1,1
context_110588.json,structured,38,38,0,1,1
context_110588.json,root_preamble,1,1,0,1,1
context_110647.json,structured,33,33,0,1,1
context_110647.json,root_preamble,1,1,0,1,1
context_110662.json,structured,6,6,0,1,1
context_110662.json,root_preamble,1,1,0,1,1
context_110702.json,structured,30,30,0,1,1
context_110702.json,root_preamble,1,1,0,1,1
context_110756.json,structured,5,5,0,1,1
context_110756.json,root_preamble,1,1,0,1,1
context_110777.json,structured,3,3,0,1,1
context_110777.json,root_preamble,1,1,0,1,1
context_110813.json,structured,31,31,0,1,1
context_110813.json,root_preamble,1,1,0,1,1
context_110837.json,structured,5,5,0,1,1
context_110837.json,root_preamble,1,1,0,1,1
